                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  1.092,                 0.6662,                 1.4206,                 0.9963,                      1,                  0.995,                0.75466,                0.94546,                0.49372,                  1.361,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.1171,                0.64813,                 1.3729,                0.99517,                      1,                  0.995,                0.76351,                0.95377,                0.50658,                 1.3661,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1889,                0.65238,                 1.4434,                 0.9948,                      1,                  0.995,                0.76138,                0.93516,                0.52676,                 1.3539,             0.00056128,             0.00056128,             0.00056128
                     69,                  1.079,                0.63298,                 1.3427,                 0.9952,                      1,                  0.995,                0.75366,                0.94611,                0.54651,                   1.36,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0649,                0.61237,                  1.259,                 0.9962,                      1,                  0.995,                0.70864,                0.99544,                0.53763,                 1.4039,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.1116,                0.61413,                 1.3571,                0.99627,                      1,                  0.995,                0.71672,                0.99401,                0.52836,                 1.4112,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.1453,                0.66904,                 1.5214,                0.99602,                      1,                  0.995,                 0.7089,                  1.008,                0.50752,                 1.3918,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0425,                0.58044,                 1.3278,                0.99595,                      1,                  0.995,                0.73378,                0.96253,                0.48719,                 1.3654,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0443,                0.57116,                 1.3041,                0.99586,                      1,                  0.995,                0.76198,                0.92792,                0.46898,                 1.3564,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0827,                0.59236,                  1.368,                0.99618,                      1,                  0.995,                 0.7574,                 0.9321,                0.47113,                   1.35,             0.00044576,             0.00044576,             0.00044576
